Brócoli con Queso,"brócoli, queso cheddar, leche, harina, mantequilla",Acompañamiento,"Vegetariano, Lacto-vegetariano, Omnívoro","Cocina el brócoli al vapor, prepara una salsa con leche, harina y mantequilla, añade el queso rallado hasta que se derrita, vierte sobre el brócoli y sirve",
Sopa de Tomate,"Tomates, Cebolla, Ajo, Caldo de verduras, Albahaca ",Sopa,"Flexitariano, Vegetariano, Vegano",Saltea cebolla y ajo en una olla grande. Agrega tomates picados y caldo de verduras. Cocina a fuego lento hasta que los tomates estén tiernos. Licúa la sopa hasta obtener una textura suave. Añade hojas de albahaca fresca picada antes de servir,
Tacos de Frijoles y Aguacate,"Tortillas de maíz, Frijoles negros, Aguacate, Cilantro, Salsa picante",Plato principal,"Flexitariano, Vegetariano, Vegano","Calienta las tortillas de maíz en una sartén. Rellena cada tortilla con frijoles negros cocidos, rodajas de aguacate y cilantro fresco picado. Añade salsa picante al gusto y sirve caliente",
Risotto de Champiñones,"Arroz Arborio, Champiñones, Caldo de verduras, Vino blanco, Queso parmesano",Plato principal,"Flexitariano, Vegetariano","Saltea champiñones en una olla con mantequilla. Agrega arroz Arborio y cocina hasta que esté translúcido. Vierte vino blanco y deja que se absorba. Añade caldo de verduras poco a poco, revolviendo hasta que el arroz esté cremoso. Incorpora queso parmesano rallado antes de servir",
Limonada de Frutos Rojos,"Frambuesas, Limón, Agua, Hojas de hierbabuena, Azúcar",Bebida,"Flexitariano, Vegetariano, Vegano",Tritura las frambuesas con el jugo de limón en una licuadora. Cuela la mezcla y añade agua y hojas de hierbabuena al gusto. Endulza con azúcar si es necesario. Sirve con hielo,
Mojito de Frutos Rojos,"Frambuesas, Menta, Limón, Azúcar, Ron blanco, Agua con gas",Bebida,"Flexitariano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Omnívoro",Tritura las frambuesas con azúcar y hojas de menta. Añade jugo de limón y ron blanco. Mezcla con agua con gas y sirve con hielo,
Lasaña Vegetariana,"Placas de lasaña, Berenjena, Tomate, Queso mozzarella, Salsa de tomate",Plato principal,"Flexitariano, Vegetariano","Cocina las placas de lasaña según las instrucciones del paquete. Corta la berenjena en rodajas finas y ásalas. En un molde para horno, alterna capas de salsa de tomate, berenjena asada, tomate en rodajas y queso mozzarella rallado. Repite hasta terminar con una capa de queso. Hornea hasta que el queso se derrita y gratine",
Helado de Banana,"plátanos, leche, azúcar, vainilla, chocolate",Postre,"Vegetariano, Lacto-vegetariano, Omnívoro","Congela los plátanos cortados, mezcla con leche, azúcar y vainilla en una licuadora hasta obtener una textura cremosa, añade trozos de chocolate",
Hojaldres de Espinacas,"masa de hojaldre, espinacas, queso feta, huevo, ajo",Aperitivo,"Vegetariano, Ovo-vegetariano, Flexitariano, Omnívoro","Unta el hummus en el pan pita, coloca rodajas de pepino, tomate y aceitunas, corta en triángulos y sirve",
Garbanzos a la Mediterránea,"garbanzos cocidos, tomate, pimiento, cebolla, ajo",Plato principal,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Saltea el ajo y la cebolla, añade el pimiento y el tomate, cocina a fuego lento, agrega los garbanzos y mezcla bien, cocina hasta que esté todo caliente",
Ensalada Griega,"Pepino, Tomate, Aceitunas Kalamata, Queso feta, Aceite de oliva",Plato principal,"Flexitariano, Vegetariano",Corta el pepino y el tomate en rodajas. Mezcla con aceitunas Kalamata y queso feta desmenuzado. Aliña con aceite de oliva y orégano,
Calabacines Rellenos,"calabacín, carne picada, tomate, cebolla, queso",Plato principal,"Flexitariano, Omnívoro","Corta los calabacines por la mitad, saca la pulpa y reserva, cocina la carne con cebolla y tomate, rellena los calabacines y cubre con queso, hornea a 180°C durante 25 minutos",
Camarones al Ajillo,"camarones, ajo, perejil, aceite de oliva, limón",Plato principal,"Pescetariano, Flexitariano, Omnívoro","Saltea el ajo en aceite de oliva, añade los camarones y cocina hasta que estén rosados, añade perejil picado y jugo de limón, sirve caliente",
Fajitas de Pollo,"pechuga de pollo, pimiento, cebolla, ajo, tortillas",Plato principal,"Flexitariano, Omnívoro","Cocina el pollo con pimiento, cebolla y ajo en una sartén caliente, sirve en tortillas calientes",
Fresas con Crema,"fresas, crema, azúcar, vainilla, menta",Postre,"Vegetariano, Lacto-vegetariano, Omnívoro","Mezcla las fresas cortadas con azúcar y vainilla, sirve con crema y decora con hojas de menta",
Ensalada de Garbanzos y Palta ,"Garbanzos cocidos, Palta, Tomates cherry, limón, Aceite de oliva",Acompañamiento,"Flexitariano, Vegetariano",Enjuaga los garbanzos. Corta el aguacate y los tomates. Mezcla todo en un bol y aliña con zumo de limón y aceite de oliva. Sirve.,
Dip de Espinacas y Alcachofas,"espinacas, alcachofas, queso crema, mayonesa, parmesano",Aperitivo,"Vegetariano, Lacto-vegetariano, Omnívoro",Mezcla todos los ingredientes y hornea a 180°C hasta que esté caliente y burbujeante,
Enchiladas de Queso,"tortillas de maíz, queso, salsa de enchilada, cebolla, crema agria",Plato principal,"Vegetariano, Lacto-vegetariano, Omnívoro","Rellena las tortillas con queso y cebolla, enrolla y coloca en un molde, cubre con salsa de enchilada y hornea a 180°C por 20 minutos, sirve con crema agria",
Curry de Garbanzos y Espinacas,"Garbanzos cocidos, Espinacas frescas, Leche de coco, Curry en polvo, Arroz basmati",Plato principal,"Flexitariano, Vegetariano, Vegano","En una sartén grande, saltea curry en polvo con aceite. Agrega garbanzos cocidos y espinacas frescas. Vierte leche de coco y cocina a fuego medio hasta que las espinacas se marchiten y el curry espese. Sirve caliente sobre arroz basmati cocido",
Ceviche de Pescado,"pescado blanco, limón, cebolla, cilantro, tomate",Plato principal,"Pescetariano, Flexitariano, Omnívoro","Corta el pescado en cubos y marina en jugo de limón, añade cebolla, cilantro y tomate picados, mezcla bien y refrigera antes de servir",
Berenjenas Rellenas de Quinoa,"Berenjenas, Quinoa, Tomate, Queso feta, Hierbas frescas",Plato principal,"Flexitariano, Vegetariano, Omnívoro","Cocina las placas de lasaña según las instrucciones del paquete. Asa las rodajas de berenjena y prepara una salsa de tomate. Alterna capas de salsa de tomate, berenjena asada, rodajas de tomate y queso mozzarella. Hornea hasta que el queso se derrita y gratine.",
